[00:00:40.400 --> 00:00:47.680]   Thanks for coming out.
[00:00:47.680 --> 00:00:58.400]   I'm going to do something that's rare and unusual for me, and that's read from the book, rather than talk it.
[00:00:58.400 --> 00:01:01.920]   The book was 1,900 pages. You may know the story of it.
[00:01:01.920 --> 00:01:10.960]   I worked on it for six years, and I refer to it as "auto-fiction," which is a Jersey Kaczynski term.
[00:01:10.960 --> 00:01:21.200]   The book is extremely autobiographic, but I have also taken liberty of changing my name from Spalding Gray to Brewster North,
[00:01:21.200 --> 00:01:33.600]   named after the railroad station, which was the last stop where I was writing the book in upstate, above Westchester, Brewster North.
[00:01:33.600 --> 00:01:43.200]   The idea of the way that I was working on this book was a kind of free associative writing, not unlike psychoanalysis,
[00:01:43.200 --> 00:01:53.200]   in the sense that I was writing everything that was on my mind, revolving around what I would say was the seduction
[00:01:53.200 --> 00:02:09.200]   that my mother and I perpetrated, this closeness that was with my mother, and her eventual suicide, which was just this July, now, 1967.
[00:02:09.200 --> 00:02:23.200]   Lots of stuff was just pouring out, and I was hoping to edit it down from that, so we did edit it, some of us, from 1,900 pages to, I think, 228.
[00:02:23.200 --> 00:02:34.200]   There's another book on my desk that continues, where Brewster North reaches Bali, but I'm not ready to write it.
[00:02:34.200 --> 00:02:44.200]   I found writing to be one of the most isolating and disturbing and lonely, horrible experiences.
[00:02:44.200 --> 00:03:08.200]   So I'm going to read three sections from the book. First needs no explanation, it's just really about the beginnings of my mother's breakdown, which lasted two years.
[00:03:08.200 --> 00:03:15.200]   Broken.
[00:03:15.200 --> 00:03:28.200]   "While Mom was away at the institution, Dad, to his credit, had realized that maybe part of Mom's breakdown had to do with them moving away from Narragansett Bay."
[00:03:28.200 --> 00:03:43.200]   Just a footnote here. What happened, and this is really hard, because to talk about Brewster North and myself, it's odd to split it, because Brewster North really is a persona for Spaulding Gray.
[00:03:43.200 --> 00:03:58.200]   But what actually happened was that my mother was a very Christian woman and wanted to do the Christian thing so that my father wanted to move across the bay from Barrington, Rhode Island to East Greenwich, where his factory was relocating so he wouldn't have to commute.
[00:03:58.200 --> 00:04:08.200]   My mother, thinking that this would be the Christian thing to do, was all prepared to do it until it came time to move, and then she couldn't sleep.
[00:04:08.200 --> 00:04:16.200]   She was unable to sleep, she'd go up at two in the afternoon to get to sleep by midnight, and she started to go crazy, not sleeping.
[00:04:16.200 --> 00:04:30.200]   "While Mom was away at the institution, Mom's breakdown had to do with their moving away from Narragansett Bay. Dad tried to buy the old house back from the new owners, but they were to have nothing of it.
