[00:00:33.320 --> 00:00:36.740]   Thank you.
[00:00:36.740 --> 00:00:44.700]   Roll over and turn off the radio deciding to do without the news this morning.
[00:00:44.700 --> 00:00:51.740]   As my eye scans out the bedroom window across the historic cemetery and stops on the old whalers church.
[00:00:51.740 --> 00:00:57.480]   This old church built in 1844 used to have a 168-foot high steeple.
[00:00:57.480 --> 00:01:03.000]   That the whalers who would be out to see two, three years at a time would guide themselves in round Montauk Point,
[00:01:03.000 --> 00:01:05.040]   looking at this steeple.
[00:01:05.040 --> 00:01:12.000]   Then the 1938 hurricane blew it down and left this church looking like one of the most unusual examples of what I could only describe as
[00:01:12.000 --> 00:01:15.400]   colonial Egyptian revival.
[00:01:15.400 --> 00:01:18.560]   I mean it looks like a white clapboard
[00:01:18.560 --> 00:01:24.840]   Egyptian tomb. It looks like George Washington and King Tut could be buried side-by-side there.
[00:01:25.160 --> 00:01:28.320]   As my eye scans back now across the cemetery
[00:01:28.320 --> 00:01:35.100]   and I roll over and look down at Theo, my sleeping infant nine-month-old son beside me, and I think how?
[00:01:35.100 --> 00:01:38.820]   How did I come to be in this place?
[00:01:38.820 --> 00:01:46.280]   Never in my wildest imagination soothsay of fantasy dreams did I ever think at age 54,
[00:01:46.280 --> 00:01:50.060]   56 that I would re-enact my family constrict.
[00:01:52.160 --> 00:01:57.280]   And Marissa, Kathy, two adults, Kathy and myself, Marissa, her daughter,
[00:01:57.280 --> 00:02:03.880]   Forrest, our son, and now a little infant Theo beside me. I mean Kathy always said that she knew in high school
[00:02:03.880 --> 00:02:09.360]   she was going to have three children. What did I know in high school? Really, nothing. What do I know now? Nothing.
[00:02:09.360 --> 00:02:14.680]   I didn't know I wanted to be with Kathy until I was with her.
[00:02:14.680 --> 00:02:18.320]   I didn't know I wanted a child until I held my son in my arms.
[00:02:18.320 --> 00:02:23.080]   I thought I wanted to end up by the sea, the ocean, and never knew which one being a Gemini.
[00:02:23.080 --> 00:02:29.640]   I was always bouncing back and forth between East Coast and West Coast, Atlantic and Pacific. And then on my 54th birthday
[00:02:29.640 --> 00:02:34.320]   Kathy took me out as a surprise to Sag Harbor to the American Hotel. She'd never been out there.
[00:02:34.320 --> 00:02:39.600]   She wanted to see the town. And this old colonial hotel, and we go out and afterwards dinner
[00:02:39.600 --> 00:02:45.640]   we're walking around the streets and we see this house is for sale. And we go into the yard kind of exploring and
[00:02:46.120 --> 00:02:51.760]   we try the front door. And it was unlocked, so we just went in. It wasn't breaking and entering really. It was just entering.
[00:02:51.760 --> 00:02:56.400]   Looking around at this house and exploring it
[00:02:56.400 --> 00:03:00.640]   we started to have fantasies about what it would be like to raise a family out in a small village like that.
[00:03:00.640 --> 00:03:06.800]   And knowing really it was the fantasies, I mean we couldn't imagine me. I mean leaving New York City after 30 years or
[00:03:06.800 --> 00:03:12.760]   I'd be starting Bloody Marys at noon out there in Sag Harbor. Could Kathy work out of her home?
[00:03:12.760 --> 00:03:16.000]   You know, could she do her talent agency out of the home and leave New York?
[00:03:16.000 --> 00:03:17.720]   What were the schools like? We didn't know any of it.
[00:03:17.720 --> 00:03:24.140]   But we fantasized. And we did, when we got back, we took the real estate number off the sign and called the real estate agent.
[00:03:24.140 --> 00:03:29.560]   Now real estate agents aren't called real estate agents for no reason. They really know how to reel you in.
[00:03:29.560 --> 00:03:32.320]   And this
[00:03:32.320 --> 00:03:34.320]   agent happened to me named Jan Hooks.
[00:03:34.320 --> 00:03:39.560]   And she just happened to work for Harpoon Realty, you see.
[00:03:39.560 --> 00:03:42.640]   So we were hooked and harpooned.
[00:03:42.760 --> 00:03:48.120]   And we went out to take a look. And we liked it. Of course we had to pretend we hadn't seen the inside, you see.
[00:03:48.120 --> 00:03:53.800]   And it suited us just fine, both of us, because it was an 1890s house.
[00:03:53.800 --> 00:03:57.640]   But it looked 1890s inside as well as out. Many of those houses out there look old outside.
[00:03:57.640 --> 00:04:02.040]   But look like dentist waiting rooms inside. You know, too much sheetrock and indented ceiling lights.
[00:04:02.040 --> 00:04:08.080]   So we liked it. Really, we liked those wide pine board floors. You could see the cellar light shining up through the cracks.
[00:04:08.640 --> 00:04:15.000]   We liked the way the rooms were all angles, the doorways. In fact, my accountant/financial advisor
